brand,company,uretici,notlar,country,countryCode,countryEmoji,category,logo,companyLogo,mcapRank,employees,founded,website
Koç Holding,Koç Ailesi,Koç Ailesi,,Türkiye,TR,🇹🇷,Holding,/logo/kocholding.svg,,,100000,1926,https://www.koc.com.tr
Sabancı Holding,Sabancı Ailesi,Sabancı Ailesi,,Türkiye,TR,🇹🇷,Holding,/logo/sabanci.svg,,,60000,1967,https://www.sabanci.com
Yıldız Holding,Ülker Ailesi,Ülker Ailesi,,Türkiye,TR,🇹🇷,Holding,,,,,1944,https://www.yildizholding.com.tr
Zorlu Holding,Zorlu Ailesi,Zorlu Ailesi,,Türkiye,TR,🇹🇷,Holding,/logo/zorluholding.svg,,,,1953,https://www.zorlu.com.tr
Doğuş Holding,Doğuş Ailesi,Doğuş Ailesi,,Türkiye,TR,🇹🇷,Holding,,,,,1951,https://www.dogusgrubu.com.tr
Yaşar Holding,Yaşar Ailesi,Yaşar Ailesi,,Türkiye,TR,🇹🇷,Holding,,,,,1945,https://www.yasar.com.tr
Akkök Holding,Akkök Ailesi,Akkök Ailesi,,Türkiye,TR,🇹🇷,Holding,,,,,1971,https://www.akkok.com.tr
Eczacıbaşı Holding,Eczacıbaşı Ailesi,Eczacıbaşı Ailesi,,Türkiye,TR,🇹🇷,Holding,/logo/eczacibasiholding.svg,,,,1942,https://www.eczacibasi.com.tr
Arçelik,Koç Holding,Koç Holding,,Türkiye,TR,🇹🇷,Elektronik,,/logo/kocholding.svg,,40000,1955,https://www.arcelik.com.tr
Beko,Arçelik,Arçelik,,Türkiye,TR,🇹🇷,Elektronik,,,,,,https://www.beko.com.tr
Grundig,Arçelik,Arçelik,,Almanya,DE,🇩🇪,Elektronik,,,,,,
Altus,Arçelik,Arçelik,,Türkiye,TR,🇹🇷,Elektronik,,,,,,
Blomberg,Arçelik,Arçelik,,Türkiye,TR,🇹🇷,Elektronik,,,,,,
Vestel,Zorlu Holding,Zorlu Holding,,Türkiye,TR,🇹🇷,Elektronik,,/logo/zorluholding.svg,,15000,1984,https://www.vestel.com.tr
Regal,Vestel,Vestel,,Türkiye,TR,🇹🇷,Elektronik,,,,,,
Dijitsu,Vestel,Vestel,,Türkiye,TR,🇹🇷,Elektronik,,,,,,
Telefunken,Vestel,Vestel,"Alman menşeli marka, Vestel tarafından kullanım hakkı alınmıştır.",Almanya,DE,🇩🇪,Elektronik,,,,,,
Turkcell,Turkcell,Turkcell,,Türkiye,TR,🇹🇷,Telekomünikasyon,/logo/turkcell.svg,,,12000,1994,https://www.turkcell.com.tr
Türk Telekom,Türk Telekom,Türk Telekom,,Türkiye,TR,🇹🇷,Telekomünikasyon,/logo/turktelekom.svg,,,35000,1995,https://www.turktelekom.com.tr
Vodafone TR,Vodafone Group,Vodafone Group,,İngiltere,GB,🇬🇧,Telekomünikasyon,,,,,,https://www.vodafone.com.tr
Fizy,Turkcell,Turkcell,,Türkiye,TR,🇹🇷,Dijital Medya,,/logo/turkcell.svg,,,2014,https://www.fizy.com
LC Waikiki,LC Waikiki,LC Waikiki,,Türkiye,TR,🇹🇷,Giyim,,,,50000,1988,https://www.lcwaikiki.com
Mavi,Mavi,Mavi,,Türkiye,TR,🇹🇷,Giyim,,,,5000,1991,https://www.mavi.com
Koton,Koton,Koton,,Türkiye,TR,🇹🇷,Giyim,,,,12000,1988,https://www.koton.com
DeFacto,DeFacto,DeFacto,,Türkiye,TR,🇹🇷,Giyim,,,,10000,2006,https://www.defacto.com.tr
İpekyol,İpekyol,İpekyol,,Türkiye,TR,🇹🇷,Giyim,,,,,1987,https://www.ipekyol.com.tr
Network,İpekyol,İpekyol,,Türkiye,TR,🇹🇷,Giyim,,,,,,
Vakko,Vakko,Vakko,,Türkiye,TR,🇹🇷,Giyim,,,,,1934,https://www.vakko.com
Beymen,Akkök Holding,Akkök Holding,,Türkiye,TR,🇹🇷,Giyim,,,,,1971,https://www.beymen.com
Sarar,Sarar,Sarar,,Türkiye,TR,🇹🇷,Giyim,,,,,1944,https://www.sarar.com
Zara,Inditex,Inditex,,İspanya,ES,🇪🇸,Giyim,/logo/inditex.svg,,,,1975,https://www.zara.com
Bershka,Inditex,Inditex,,İspanya,ES,🇪🇸,Giyim,,/logo/inditex.svg,,,,
Pull&Bear,Inditex,Inditex,,İspanya,ES,🇪🇸,Giyim,/logo/pullbear.svg,/logo/inditex.svg,,,,
Massimo Dutti,Inditex,Inditex,,İspanya,ES,🇪🇸,Giyim,/logo/massimodutti.svg,/logo/inditex.svg,,,,
Oysho,Inditex,Inditex,,İspanya,ES,🇪🇸,Giyim,/logo/oysho.svg,/logo/inditex.svg,,,,
Stradivarius,Inditex,Inditex,,İspanya,ES,🇪🇸,Giyim,/logo/stradivarius.svg,/logo/inditex.svg,,,,
Lefties,Inditex,Inditex,,İspanya,ES,🇪🇸,Giyim,/logo/lefties.svg,/logo/inditex.svg,,,,
Nike,Nike,Nike,,Amerika,US,🇺🇸,Giyim,,,,79000,1964,https://www.nike.com
Adidas,Adidas,Adidas,,Almanya,DE,🇩🇪,Giyim,/logo/adidas.svg,,,59000,1949,https://www.adidas.com
Puma,Puma,Puma,,Almanya,DE,🇩🇪,Giyim,/logo/puma.svg,,,,1948,https://www.puma.com
Vans,VF Corporation,VF Corporation,,Amerika,US,🇺🇸,Giyim,/logo/vans.svg,,,,,https://www.vans.com
Lacoste,Lacoste,Lacoste,,Fransa,FR,🇫🇷,Giyim,/logo/lacoste.svg,,,,1933,https://www.lacoste.com
Calvin Klein,PVH Corp,PVH Corp,,Amerika,US,🇺🇸,Giyim,/logo/calvinklein.svg,,,,,
Diesel,OTB Group,OTB Group,,İtalya,IT,🇮🇹,Giyim,/logo/diesel.svg,,,,1978,https://www.diesel.com
Burberry,Burberry Group,Burberry Group,,İngiltere,GB,🇬🇧,Giyim,/logo/burberry.svg,,,,,https://www.burberry.com
Ülker,Yıldız Holding,Yıldız Holding,,Türkiye,TR,🇹🇷,Gıda,,,,20000,1944,https://www.ulker.com.tr
Godiva,Yıldız Holding,Yıldız Holding,,Belçika,BE,🇧🇪,Gıda,,,,,1926,https://www.godiva.com
McVitie's,Yıldız Holding,Yıldız Holding,,İngiltere,GB,🇬🇧,Gıda,,,,,,
